"Step","Group: highway-v0 - adv_rewards","Group: highway-v0 - adv_rewards__MIN","Group: highway-v0 - adv_rewards__MAX"
"4000","0.3282275711159737","0.3282275711159737","0.3282275711159737"
"8000","0.18404907975460122","0.18404907975460122","0.18404907975460122"
"12000","0.2514506769825919","0.2514506769825919","0.2514506769825919"
"16000","0.21359223300970873","0.21359223300970873","0.21359223300970873"
"20000","0.21484375","0.21484375","0.21484375"
"24000","0.16393442622950818","0.16393442622950818","0.16393442622950818"
"28000","0.16393442622950818","0.16393442622950818","0.16393442622950818"
"32000","0.07827788649706457","0.07827788649706457","0.07827788649706457"
"36000","0.18108651911468812","0.18108651911468812","0.18108651911468812"
"40000","0.09689922480620156","0.09689922480620156","0.09689922480620156"
"44000","0.2723735408560311","0.2723735408560311","0.2723735408560311"
"48000","0.2294455066921606","0.2294455066921606","0.2294455066921606"
"52000","0.1834862385321101","0.1834862385321101","0.1834862385321101"
"56000","0.248565965583174","0.248565965583174","0.248565965583174"
"60000","0.1348747591522158","0.1348747591522158","0.1348747591522158"
"64000","0.22598870056497175","0.22598870056497175","0.22598870056497175"
"68000","0.16032064128256512","0.16032064128256512","0.16032064128256512"
"72000","0.10101010101010101","0.10101010101010101","0.10101010101010101"
"76000","0.12578616352201258","0.12578616352201258","0.12578616352201258"
"80000","0.2066115702479339","0.2066115702479339","0.2066115702479339"
"84000","0.1836734693877551","0.1836734693877551","0.1836734693877551"
"88000","0.10224948875255624","0.10224948875255624","0.10224948875255624"
"92000","0.16427104722792607","0.16427104722792607","0.16427104722792607"
"96000","0.3541666666666667","0.3541666666666667","0.3541666666666667"
"100000","0.2074688796680498","0.2074688796680498","0.2074688796680498"
"104000","0.23952095808383234","0.23952095808383234","0.23952095808383234"
"108000","0.1446280991735537","0.1446280991735537","0.1446280991735537"
"112000","0.25210084033613445","0.25210084033613445","0.25210084033613445"
"116000","0.21505376344086022","0.21505376344086022","0.21505376344086022"
"120000","0.08658008658008658","0.08658008658008658","0.08658008658008658"
"124000","0.12875536480686695","0.12875536480686695","0.12875536480686695"
"128000","0.27896995708154504","0.27896995708154504","0.27896995708154504"
