"Step","Group: roundaboutvd-v0 - adv_rewards","Group: roundaboutvd-v0 - adv_rewards__MIN","Group: roundaboutvd-v0 - adv_rewards__MAX"
"4000","0.7089552238805971","0.7089552238805971","0.7089552238805971"
"8000","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"12000","0.64030131826742","0.64030131826742","0.64030131826742"
"16000","0.6554307116104869","0.6554307116104869","0.6554307116104869"
"20000","0.595903165735568","0.595903165735568","0.595903165735568"
"24000","0.6679035250463822","0.6679035250463822","0.6679035250463822"
"28000","0.990990990990991","0.990990990990991","0.990990990990991"
"32000","0.6309751434034416","0.6309751434034416","0.6309751434034416"
"36000","1.1775043936731107","1.1775043936731107","1.1775043936731107"
"40000","0.8876811594202898","0.8876811594202898","0.8876811594202898"
"44000","1.0175438596491229","1.0175438596491229","1.0175438596491229"
"48000","1.0114192495921697","1.0114192495921697","1.0114192495921697"
"52000","1.2106135986733002","1.2106135986733002","1.2106135986733002"
"56000","1.183533447684391","1.183533447684391","1.183533447684391"
"60000","1.2369337979094077","1.2369337979094077","1.2369337979094077"
"64000","1.404399323181049","1.404399323181049","1.404399323181049"
"68000","1.4067796610169492","1.4067796610169492","1.4067796610169492"
"72000","1.4593698175787728","1.4593698175787728","1.4593698175787728"
"76000","1.2338858195211786","1.2338858195211786","1.2338858195211786"
"80000","1.2363636363636363","1.2363636363636363","1.2363636363636363"
"84000","1.2433392539964476","1.2433392539964476","1.2433392539964476"
"88000","1.4363636363636363","1.4363636363636363","1.4363636363636363"
"92000","1.4389799635701275","1.4389799635701275","1.4389799635701275"
"96000","1.3953488372093024","1.3953488372093024","1.3953488372093024"
"100000","1.5263157894736843","1.5263157894736843","1.5263157894736843"
"104000","1.733800350262697","1.733800350262697","1.733800350262697"
"108000","2.131715771230503","2.131715771230503","2.131715771230503"
"112000","1.6058394160583942","1.6058394160583942","1.6058394160583942"
"116000","1.8584070796460177","1.8584070796460177","1.8584070796460177"
"120000","1.9763513513513513","1.9763513513513513","1.9763513513513513"
"124000","1.556350626118068","1.556350626118068","1.556350626118068"
"128000","1.9210977701543739","1.9210977701543739","1.9210977701543739"
"132000","1.881720430107527","1.881720430107527","1.881720430107527"
"136000","1.8003565062388591","1.8003565062388591","1.8003565062388591"
"140000","1.9197207678883073","1.9197207678883073","1.9197207678883073"
"144000","2.159090909090909","2.159090909090909","2.159090909090909"
"148000","2.067137809187279","2.067137809187279","2.067137809187279"
"152000","1.7821782178217822","1.7821782178217822","1.7821782178217822"
"156000","1.7667844522968197","1.7667844522968197","1.7667844522968197"
"160000","2.107142857142857","2.107142857142857","2.107142857142857"
"164000","1.8118466898954704","1.8118466898954704","1.8118466898954704"
"168000","1.9371727748691099","1.9371727748691099","1.9371727748691099"
"172000","2.5442834138486314","2.5442834138486314","2.5442834138486314"
"176000","2.1686746987951806","2.1686746987951806","2.1686746987951806"
"180000","2.0547945205479454","2.0547945205479454","2.0547945205479454"
"184000","1.9600725952813067","1.9600725952813067","1.9600725952813067"
"188000","2.0898100172711573","2.0898100172711573","2.0898100172711573"
"192000","1.917562724014337","1.917562724014337","1.917562724014337"
"196000","2.4873949579831933","2.4873949579831933","2.4873949579831933"
"200000","2.3817567567567566","2.3817567567567566","2.3817567567567566"
"204000","1.8453427065026362","1.8453427065026362","1.8453427065026362"
"208000","2.183098591549296","2.183098591549296","2.183098591549296"
"212000","2.0588235294117645","2.0588235294117645","2.0588235294117645"
"216000","2.0284697508896796","2.0284697508896796","2.0284697508896796"
"220000","2.520193861066236","2.520193861066236","2.520193861066236"
"224000","2.1465968586387434","2.1465968586387434","2.1465968586387434"
"228000","2.0847457627118646","2.0847457627118646","2.0847457627118646"
"232000","2.0913884007029875","2.0913884007029875","2.0913884007029875"
"236000","2.276867030965392","2.276867030965392","2.276867030965392"
"240000","2.2756410256410255","2.2756410256410255","2.2756410256410255"
"244000","2.288135593220339","2.288135593220339","2.288135593220339"
"248000","2.132867132867133","2.132867132867133","2.132867132867133"
"252000","2.09106239460371","2.09106239460371","2.09106239460371"
"256000","1.9856887298747763","1.9856887298747763","1.9856887298747763"
"260000","2.1238938053097347","2.1238938053097347","2.1238938053097347"
"264000","2.063758389261745","2.063758389261745","2.063758389261745"
"268000","2.1025641025641026","2.1025641025641026","2.1025641025641026"
"272000","2.180579216354344","2.180579216354344","2.180579216354344"
"276000","2.2521008403361344","2.2521008403361344","2.2521008403361344"
"280000","2.387543252595156","2.387543252595156","2.387543252595156"
"284000","2.425249169435216","2.425249169435216","2.425249169435216"
"288000","2.145390070921986","2.145390070921986","2.145390070921986"
"292000","2.272727272727273","2.272727272727273","2.272727272727273"
"296000","2.529118136439268","2.529118136439268","2.529118136439268"
"300000","2.35191637630662","2.35191637630662","2.35191637630662"
"304000","2.1319796954314723","2.1319796954314723","2.1319796954314723"
"308000","2.245250431778929","2.245250431778929","2.245250431778929"
"312000","2.3117338003502628","2.3117338003502628","2.3117338003502628"
"316000","2.627986348122867","2.627986348122867","2.627986348122867"
"320000","1.8909090909090909","1.8909090909090909","1.8909090909090909"
