"Step","Group: roundaboutvd-v0 - adv_rewards","Group: roundaboutvd-v0 - adv_rewards__MIN","Group: roundaboutvd-v0 - adv_rewards__MAX"
"4000","0.1978021978021978","0.1978021978021978","0.1978021978021978"
"8000","0.12987012987012986","0.12987012987012986","0.12987012987012986"
"12000","0.08492569002123142","0.08492569002123142","0.08492569002123142"
"16000","0.16194331983805668","0.16194331983805668","0.16194331983805668"
"20000","0.20964360587002095","0.20964360587002095","0.20964360587002095"
"24000","0.23255813953488372","0.23255813953488372","0.23255813953488372"
"28000","0.32064128256513025","0.32064128256513025","0.32064128256513025"
"32000","0.35564853556485354","0.35564853556485354","0.35564853556485354"
"36000","0.25210084033613445","0.25210084033613445","0.25210084033613445"
"40000","0.3434343434343434","0.3434343434343434","0.3434343434343434"
"44000","0.26","0.26","0.26"
"48000","0.1941747572815534","0.1941747572815534","0.1941747572815534"
"52000","0.46511627906976744","0.46511627906976744","0.46511627906976744"
"56000","0.2484472049689441","0.2484472049689441","0.2484472049689441"
"60000","0.4708097928436911","0.4708097928436911","0.4708097928436911"
"64000","0.3525046382189239","0.3525046382189239","0.3525046382189239"
"68000","0.39923954372623577","0.39923954372623577","0.39923954372623577"
"72000","0.4150197628458498","0.4150197628458498","0.4150197628458498"
"76000","0.22132796780684105","0.22132796780684105","0.22132796780684105"
"80000","0.29069767441860467","0.29069767441860467","0.29069767441860467"
"84000","0.4716981132075472","0.4716981132075472","0.4716981132075472"
"88000","0.5813953488372093","0.5813953488372093","0.5813953488372093"
"92000","0.409683426443203","0.409683426443203","0.409683426443203"
"96000","0.3766478342749529","0.3766478342749529","0.3766478342749529"
"100000","0.31954887218045114","0.31954887218045114","0.31954887218045114"
"104000","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"108000","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"112000","0.4","0.4","0.4"
"116000","0.48473967684021546","0.48473967684021546","0.48473967684021546"
"120000","0.19083969465648856","0.19083969465648856","0.19083969465648856"
"124000","0.5484460694698354","0.5484460694698354","0.5484460694698354"
"128000","0.5982905982905983","0.5982905982905983","0.5982905982905983"
"132000","0.33687943262411346","0.33687943262411346","0.33687943262411346"
"136000","0.3880070546737213","0.3880070546737213","0.3880070546737213"
"140000","0.3364485981308411","0.3364485981308411","0.3364485981308411"
"144000","0.3804347826086957","0.3804347826086957","0.3804347826086957"
"148000","0.5470085470085471","0.5470085470085471","0.5470085470085471"
"152000","0.27124773960216997","0.27124773960216997","0.27124773960216997"
"156000","0.4482758620689655","0.4482758620689655","0.4482758620689655"
"160000","0.5100182149362478","0.5100182149362478","0.5100182149362478"
"164000","0.31716417910447764","0.31716417910447764","0.31716417910447764"
"168000","0.5779334500875657","0.5779334500875657","0.5779334500875657"
"172000","0.29739776951672864","0.29739776951672864","0.29739776951672864"
"176000","0.36777583187390545","0.36777583187390545","0.36777583187390545"
"180000","0.5300353356890459","0.5300353356890459","0.5300353356890459"
"184000","0.5699481865284974","0.5699481865284974","0.5699481865284974"
"188000","0.46846846846846846","0.46846846846846846","0.46846846846846846"
"192000","0.4288164665523156","0.4288164665523156","0.4288164665523156"
"196000","0.4852686308492201","0.4852686308492201","0.4852686308492201"
"200000","0.33989266547406083","0.33989266547406083","0.33989266547406083"
"204000","0.4293381037567084","0.4293381037567084","0.4293381037567084"
"208000","0.46511627906976744","0.46511627906976744","0.46511627906976744"
"212000","0.541958041958042","0.541958041958042","0.541958041958042"
"216000","0.4778156996587031","0.4778156996587031","0.4778156996587031"
"220000","0.37735849056603776","0.37735849056603776","0.37735849056603776"
"224000","0.5078809106830122","0.5078809106830122","0.5078809106830122"
"228000","0.4778156996587031","0.4778156996587031","0.4778156996587031"
"232000","0.43956043956043955","0.43956043956043955","0.43956043956043955"
"236000","0.37735849056603776","0.37735849056603776","0.37735849056603776"
"240000","0.4923599320882852","0.4923599320882852","0.4923599320882852"
"244000","0.5663716814159292","0.5663716814159292","0.5663716814159292"
"248000","0.43478260869565216","0.43478260869565216","0.43478260869565216"
"252000","0.5681818181818182","0.5681818181818182","0.5681818181818182"
"256000","0.34843205574912894","0.34843205574912894","0.34843205574912894"
"260000","0.3559322033898305","0.3559322033898305","0.3559322033898305"
"264000","0.2998236331569665","0.2998236331569665","0.2998236331569665"
"268000","0.43261231281198004","0.43261231281198004","0.43261231281198004"
"272000","0.48414023372287146","0.48414023372287146","0.48414023372287146"
"276000","0.4882154882154882","0.4882154882154882","0.4882154882154882"
"280000","0.4827586206896552","0.4827586206896552","0.4827586206896552"
"284000","0.5226480836236934","0.5226480836236934","0.5226480836236934"
"288000","0.3109656301145663","0.3109656301145663","0.3109656301145663"
