"Step","Group: mergevd-v0 - adv_rewards","Group: mergevd-v0 - adv_rewards__MIN","Group: mergevd-v0 - adv_rewards__MAX"
"4000","0.26004728132387706","0.26004728132387706","0.26004728132387706"
"8000","0.19148936170212766","0.19148936170212766","0.19148936170212766"
"12000","0.2178649237472767","0.2178649237472767","0.2178649237472767"
"16000","0.32854209445585214","0.32854209445585214","0.32854209445585214"
"20000","0.5230125523012552","0.5230125523012552","0.5230125523012552"
"24000","0.9456740442655935","0.9456740442655935","0.9456740442655935"
"28000","1.2896825396825398","1.2896825396825398","1.2896825396825398"
"32000","2.193308550185874","2.193308550185874","2.193308550185874"
"36000","2.4904214559386975","2.4904214559386975","2.4904214559386975"
"40000","2.6335174953959486","2.6335174953959486","2.6335174953959486"
"44000","2.7566539923954374","2.7566539923954374","2.7566539923954374"
"48000","2.6053639846743293","2.6053639846743293","2.6053639846743293"
"52000","2.958801498127341","2.958801498127341","2.958801498127341"
"56000","2.826923076923077","2.826923076923077","2.826923076923077"
"60000","3.1401869158878504","3.1401869158878504","3.1401869158878504"
"64000","3.4535104364326377","3.4535104364326377","3.4535104364326377"
"68000","2.912621359223301","2.912621359223301","2.912621359223301"
"72000","2.8880157170923377","2.8880157170923377","2.8880157170923377"
"76000","3.026315789473684","3.026315789473684","3.026315789473684"
"80000","2.9423076923076925","2.9423076923076925","2.9423076923076925"
"84000","3.138401559454191","3.138401559454191","3.138401559454191"
"88000","2.96875","2.96875","2.96875"
"92000","3.147792706333973","3.147792706333973","3.147792706333973"
"96000","3.524904214559387","3.524904214559387","3.524904214559387"
"100000","3.103448275862069","3.103448275862069","3.103448275862069"
"104000","3.295238095238095","3.295238095238095","3.295238095238095"
"108000","3.0677290836653386","3.0677290836653386","3.0677290836653386"
"112000","3.215686274509804","3.215686274509804","3.215686274509804"
"116000","3.227722772277228","3.227722772277228","3.227722772277228"
"120000","3.215686274509804","3.215686274509804","3.215686274509804"
"124000","3.175542406311637","3.175542406311637","3.175542406311637"
"128000","3.035019455252918","3.035019455252918","3.035019455252918"
"132000","3.629343629343629","3.629343629343629","3.629343629343629"
"136000","3.3134920634920637","3.3134920634920637","3.3134920634920637"
"140000","3.1462925851703405","3.1462925851703405","3.1462925851703405"
"144000","3.3864541832669324","3.3864541832669324","3.3864541832669324"
"148000","2.7944111776447107","2.7944111776447107","2.7944111776447107"
"152000","3.2874015748031495","3.2874015748031495","3.2874015748031495"
"156000","3.604651162790698","3.604651162790698","3.604651162790698"
"160000","3.436293436293436","3.436293436293436","3.436293436293436"
"164000","3.519230769230769","3.519230769230769","3.519230769230769"
"168000","4.018691588785047","4.018691588785047","4.018691588785047"
"172000","4","4","4"
"176000","4.781818181818182","4.781818181818182","4.781818181818182"
"180000","5.759599332220367","5.759599332220367","5.759599332220367"
"184000","5.811688311688312","5.811688311688312","5.811688311688312"
"188000","6.2974683544303796","6.2974683544303796","6.2974683544303796"
"192000","6.588419405320813","6.588419405320813","6.588419405320813"
"196000","7.178729689807977","7.178729689807977","7.178729689807977"
"200000","7.106446776611694","7.106446776611694","7.106446776611694"
"204000","7.080838323353293","7.080838323353293","7.080838323353293"
"208000","7.115384615384615","7.115384615384615","7.115384615384615"
"212000","7.49271137026239","7.49271137026239","7.49271137026239"
"216000","7.471098265895954","7.471098265895954","7.471098265895954"
"220000","7.4777448071216615","7.4777448071216615","7.4777448071216615"
"224000","7.52906976744186","7.52906976744186","7.52906976744186"
"228000","7.625899280575539","7.625899280575539","7.625899280575539"
"232000","7.437407952871871","7.437407952871871","7.437407952871871"
"236000","7.702312138728324","7.702312138728324","7.702312138728324"
"240000","7.726618705035971","7.726618705035971","7.726618705035971"
"244000","7.764705882352941","7.764705882352941","7.764705882352941"
"248000","7.693430656934306","7.693430656934306","7.693430656934306"
"252000","7.074626865671642","7.074626865671642","7.074626865671642"
"256000","7.0186335403726705","7.0186335403726705","7.0186335403726705"
"260000","6.997041420118343","6.997041420118343","6.997041420118343"
"264000","7.569546120058565","7.569546120058565","7.569546120058565"
"268000","7.70893371757925","7.70893371757925","7.70893371757925"
"272000","7.280701754385965","7.280701754385965","7.280701754385965"
"276000","4.50834879406308","4.50834879406308","4.50834879406308"
"280000","6.328502415458937","6.328502415458937","6.328502415458937"
"284000","7.2444444444444445","7.2444444444444445","7.2444444444444445"
"288000","7.434782608695652","7.434782608695652","7.434782608695652"
"292000","7.63582966226138","7.63582966226138","7.63582966226138"
"296000","6.951951951951952","6.951951951951952","6.951951951951952"
"300000","7.785817655571635","7.785817655571635","7.785817655571635"
"304000","7.525473071324599","7.525473071324599","7.525473071324599"
"308000","6.507177033492823","6.507177033492823","6.507177033492823"
"312000","7.203647416413374","7.203647416413374","7.203647416413374"
"316000","7.097744360902255","7.097744360902255","7.097744360902255"
"320000","7.410714285714286","7.410714285714286","7.410714285714286"
"324000","7.763532763532764","7.763532763532764","7.763532763532764"
"328000","7.853107344632768","7.853107344632768","7.853107344632768"
"332000","7.787234042553192","7.787234042553192","7.787234042553192"
"336000","7.639296187683285","7.639296187683285","7.639296187683285"
"340000","7.411764705882353","7.411764705882353","7.411764705882353"
"344000","7.423133235724744","7.423133235724744","7.423133235724744"
"348000","7.6801152737752165","7.6801152737752165","7.6801152737752165"
"352000","5.760135135135135","5.760135135135135","5.760135135135135"
"356000","7.044776119402985","7.044776119402985","7.044776119402985"
"360000","7.735042735042735","7.735042735042735","7.735042735042735"
"364000","7.73109243697479","7.73109243697479","7.73109243697479"
"368000","7.942857142857143","7.942857142857143","7.942857142857143"
"372000","7.951635846372689","7.951635846372689","7.951635846372689"
"376000","7.73121387283237","7.73121387283237","7.73121387283237"
"380000","7.696709585121602","7.696709585121602","7.696709585121602"
"384000","7.793904208998549","7.793904208998549","7.793904208998549"
"388000","7.875722543352601","7.875722543352601","7.875722543352601"
"392000","7.678062678062678","7.678062678062678","7.678062678062678"
"396000","7.732394366197183","7.732394366197183","7.732394366197183"
"400000","7.994389901823282","7.994389901823282","7.994389901823282"
"404000","7.47093023255814","7.47093023255814","7.47093023255814"
"408000","7.448377581120944","7.448377581120944","7.448377581120944"
"412000","7.939914163090129","7.939914163090129","7.939914163090129"
"416000","7.605224963715529","7.605224963715529","7.605224963715529"
"420000","7.343065693430657","7.343065693430657","7.343065693430657"
"424000","7.803138373751783","7.803138373751783","7.803138373751783"
"428000","7.779349363507779","7.779349363507779","7.779349363507779"
"432000","7.9178470254957505","7.9178470254957505","7.9178470254957505"
"436000","7.708029197080292","7.708029197080292","7.708029197080292"
"440000","7.707736389684814","7.707736389684814","7.707736389684814"
"444000","7.814761215629522","7.814761215629522","7.814761215629522"
"448000","7.437774524158126","7.437774524158126","7.437774524158126"
"452000","7.940340909090909","7.940340909090909","7.940340909090909"
"456000","7.873563218390805","7.873563218390805","7.873563218390805"
"460000","7.88218793828892","7.88218793828892","7.88218793828892"
"464000","8.048433048433049","8.048433048433049","8.048433048433049"
"468000","7.451851851851852","7.451851851851852","7.451851851851852"
"472000","7.669064748201439","7.669064748201439","7.669064748201439"
"476000","7.81922525107604","7.81922525107604","7.81922525107604"
"480000","7.533234859675037","7.533234859675037","7.533234859675037"
"484000","7.790368271954674","7.790368271954674","7.790368271954674"
"488000","7.733142037302726","7.733142037302726","7.733142037302726"
"492000","7.590711175616836","7.590711175616836","7.590711175616836"
"496000","6.608557844690966","6.608557844690966","6.608557844690966"
"500000","6.360759493670886","6.360759493670886","6.360759493670886"
"504000","6.787974683544304","6.787974683544304","6.787974683544304"
"508000","7.310549777117385","7.310549777117385","7.310549777117385"
"512000","7.564841498559078","7.564841498559078","7.564841498559078"
"516000","7.166921898928025","7.166921898928025","7.166921898928025"
"520000","7.205438066465256","7.205438066465256","7.205438066465256"
"524000","7.622478386167147","7.622478386167147","7.622478386167147"
"528000","7.742402315484805","7.742402315484805","7.742402315484805"
"532000","7.798295454545454","7.798295454545454","7.798295454545454"
"536000","7.957142857142857","7.957142857142857","7.957142857142857"
"540000","7.4449339207048455","7.4449339207048455","7.4449339207048455"
"544000","7.954545454545454","7.954545454545454","7.954545454545454"
"548000","7.588235294117647","7.588235294117647","7.588235294117647"
"552000","8.073136427566807","8.073136427566807","8.073136427566807"
"556000","7.729257641921397","7.729257641921397","7.729257641921397"
"560000","7.64792899408284","7.64792899408284","7.64792899408284"
"564000","7.665198237885463","7.665198237885463","7.665198237885463"
"568000","7.030769230769231","7.030769230769231","7.030769230769231"
"572000","7.488789237668161","7.488789237668161","7.488789237668161"
"576000","7.280832095096582","7.280832095096582","7.280832095096582"
"580000","7.294469357249627","7.294469357249627","7.294469357249627"
"584000","7.598253275109171","7.598253275109171","7.598253275109171"
"588000","7.716763005780347","7.716763005780347","7.716763005780347"
"592000","7.4600870827285926","7.4600870827285926","7.4600870827285926"
"596000","7.4222222222222225","7.4222222222222225","7.4222222222222225"
"600000","5.500878734622144","5.500878734622144","5.500878734622144"
"604000","4.946428571428571","4.946428571428571","4.946428571428571"
"608000","6.99851411589896","6.99851411589896","6.99851411589896"
"612000","7.875354107648725","7.875354107648725","7.875354107648725"
"616000","7.735294117647059","7.735294117647059","7.735294117647059"
"620000","7.840909090909091","7.840909090909091","7.840909090909091"
"624000","7.443267776096823","7.443267776096823","7.443267776096823"
"628000","7.555555555555555","7.555555555555555","7.555555555555555"
"632000","7.779390420899855","7.779390420899855","7.779390420899855"
"636000","7.331378299120234","7.331378299120234","7.331378299120234"
"640000","7.397260273972603","7.397260273972603","7.397260273972603"
"644000","6.242331288343558","6.242331288343558","6.242331288343558"
"648000","5.945485519591141","5.945485519591141","5.945485519591141"
"652000","6.771653543307087","6.771653543307087","6.771653543307087"
"656000","7.265973254086181","7.265973254086181","7.265973254086181"
"660000","7.436661698956781","7.436661698956781","7.436661698956781"
"664000","7.323308270676692","7.323308270676692","7.323308270676692"
"668000","7.644508670520231","7.644508670520231","7.644508670520231"
"672000","7.550724637681159","7.550724637681159","7.550724637681159"
"676000","7.737226277372263","7.737226277372263","7.737226277372263"
"680000","8.136557610241821","8.136557610241821","8.136557610241821"
"684000","7.787356321839081","7.787356321839081","7.787356321839081"
"688000","6.751117734724292","6.751117734724292","6.751117734724292"
"692000","7.496296296296296","7.496296296296296","7.496296296296296"
"696000","7.4746008708272855","7.4746008708272855","7.4746008708272855"
"700000","7.265973254086181","7.265973254086181","7.265973254086181"
"704000","7.429837518463811","7.429837518463811","7.429837518463811"
"708000","7.360703812316715","7.360703812316715","7.360703812316715"
"712000","7.957142857142857","7.957142857142857","7.957142857142857"
"716000","7.416545718432511","7.416545718432511","7.416545718432511"
"720000","7.665706051873199","7.665706051873199","7.665706051873199"
"724000","7.402031930333817","7.402031930333817","7.402031930333817"
"728000","7.664756446991404","7.664756446991404","7.664756446991404"
"732000","7.681159420289855","7.681159420289855","7.681159420289855"
"736000","7.944055944055944","7.944055944055944","7.944055944055944"
"740000","7.756874095513748","7.756874095513748","7.756874095513748"
"744000","7.576642335766423","7.576642335766423","7.576642335766423"
"748000","7.806637806637807","7.806637806637807","7.806637806637807"
"752000","7.695652173913044","7.695652173913044","7.695652173913044"
"756000","7.603550295857988","7.603550295857988","7.603550295857988"
"760000","7.680945347119645","7.680945347119645","7.680945347119645"
"764000","7.839771101573676","7.839771101573676","7.839771101573676"
"768000","7.564469914040115","7.564469914040115","7.564469914040115"
"772000","6.270627062706271","6.270627062706271","6.270627062706271"
"776000","7.32824427480916","7.32824427480916","7.32824427480916"
"780000","7.753934191702432","7.753934191702432","7.753934191702432"
"784000","7.155688622754491","7.155688622754491","7.155688622754491"
"788000","7.518248175182482","7.518248175182482","7.518248175182482"
"792000","7.5","7.5","7.5"
"796000","7.693409742120344","7.693409742120344","7.693409742120344"
"800000","7.694566813509545","7.694566813509545","7.694566813509545"
"804000","7.768361581920904","7.768361581920904","7.768361581920904"
"808000","7.233727810650888","7.233727810650888","7.233727810650888"
"812000","7.618364418938307","7.618364418938307","7.618364418938307"
"816000","7.6034236804564905","7.6034236804564905","7.6034236804564905"
"820000","8.13443072702332","8.13443072702332","8.13443072702332"
"824000","7.860262008733624","7.860262008733624","7.860262008733624"
"828000","7.726618705035971","7.726618705035971","7.726618705035971"
"832000","7.943661971830986","7.943661971830986","7.943661971830986"
"836000","7.496402877697841","7.496402877697841","7.496402877697841"
"840000","7.647058823529412","7.647058823529412","7.647058823529412"
"844000","7.703281027104137","7.703281027104137","7.703281027104137"
"848000","7.621082621082621","7.621082621082621","7.621082621082621"
"852000","7.434402332361516","7.434402332361516","7.434402332361516"
"856000","7.481804949053857","7.481804949053857","7.481804949053857"
"860000","7.564469914040115","7.564469914040115","7.564469914040115"
"864000","7.571428571428571","7.571428571428571","7.571428571428571"
