"Step","Group: mergevd-v0 - adv_rewards","Group: mergevd-v0 - adv_rewards__MIN","Group: mergevd-v0 - adv_rewards__MAX"
"4000","0.0234192037470726","0.0234192037470726","0.0234192037470726"
"8000","0.1702127659574468","0.1702127659574468","0.1702127659574468"
"12000","0.36960985626283366","0.36960985626283366","0.36960985626283366"
"16000","0.17057569296375266","0.17057569296375266","0.17057569296375266"
"20000","0.3393213572854291","0.3393213572854291","0.3393213572854291"
"24000","0.4259634888438134","0.4259634888438134","0.4259634888438134"
"28000","0.49079754601226994","0.49079754601226994","0.49079754601226994"
"32000","0.7520325203252033","0.7520325203252033","0.7520325203252033"
"36000","0.6418219461697723","0.6418219461697723","0.6418219461697723"
"40000","0.5172413793103449","0.5172413793103449","0.5172413793103449"
"44000","1.0085836909871244","1.0085836909871244","1.0085836909871244"
"48000","1.29979035639413","1.29979035639413","1.29979035639413"
"52000","1.2951167728237791","1.2951167728237791","1.2951167728237791"
"56000","1.5433403805496828","1.5433403805496828","1.5433403805496828"
"60000","1.6702355460385439","1.6702355460385439","1.6702355460385439"
"64000","2.2154471544715446","2.2154471544715446","2.2154471544715446"
"68000","2.3076923076923075","2.3076923076923075","2.3076923076923075"
"72000","2.8225806451612905","2.8225806451612905","2.8225806451612905"
"76000","2.672064777327935","2.672064777327935","2.672064777327935"
"80000","2.7845528455284554","2.7845528455284554","2.7845528455284554"
"84000","3.42911877394636","3.42911877394636","3.42911877394636"
"88000","2.9175050301810863","2.9175050301810863","2.9175050301810863"
"92000","2.9540918163672654","2.9540918163672654","2.9540918163672654"
"96000","3.6311787072243344","3.6311787072243344","3.6311787072243344"
"100000","2.9941291585127203","2.9941291585127203","2.9941291585127203"
"104000","3.8703703703703702","3.8703703703703702","3.8703703703703702"
"108000","3.519230769230769","3.519230769230769","3.519230769230769"
"112000","3.883495145631068","3.883495145631068","3.883495145631068"
"116000","2.982456140350877","2.982456140350877","2.982456140350877"
"120000","3.7546468401486988","3.7546468401486988","3.7546468401486988"
"124000","3.933209647495362","3.933209647495362","3.933209647495362"
"128000","3.9388145315487573","3.9388145315487573","3.9388145315487573"
"132000","4.470802919708029","4.470802919708029","4.470802919708029"
"136000","4.793814432989691","4.793814432989691","4.793814432989691"
"140000","4.87719298245614","4.87719298245614","4.87719298245614"
"144000","5.3367003367003365","5.3367003367003365","5.3367003367003365"
"148000","4.948979591836735","4.948979591836735","4.948979591836735"
"152000","5.3184165232358005","5.3184165232358005","5.3184165232358005"
"156000","5.842880523731588","5.842880523731588","5.842880523731588"
"160000","5.257048092868988","5.257048092868988","5.257048092868988"
"164000","5.8603896103896105","5.8603896103896105","5.8603896103896105"
"168000","5.60530679933665","5.60530679933665","5.60530679933665"
"172000","6.2459546925566345","6.2459546925566345","6.2459546925566345"
"176000","5.460636515912898","5.460636515912898","5.460636515912898"
"180000","6.248037676609105","6.248037676609105","6.248037676609105"
"184000","6.300940438871473","6.300940438871473","6.300940438871473"
"188000","6.21283255086072","6.21283255086072","6.21283255086072"
"192000","5.599343185550082","5.599343185550082","5.599343185550082"
"196000","6.217532467532467","6.217532467532467","6.217532467532467"
"200000","5.961227786752827","5.961227786752827","5.961227786752827"
"204000","6.129032258064516","6.129032258064516","6.129032258064516"
"208000","6.356466876971608","6.356466876971608","6.356466876971608"
"212000","6.213592233009709","6.213592233009709","6.213592233009709"
"216000","6.261980830670926","6.261980830670926","6.261980830670926"
"220000","6.046875","6.046875","6.046875"
"224000","6.619718309859155","6.619718309859155","6.619718309859155"
"228000","6.240126382306477","6.240126382306477","6.240126382306477"
"232000","6.346456692913386","6.346456692913386","6.346456692913386"
"236000","6.47887323943662","6.47887323943662","6.47887323943662"
"240000","6.507177033492823","6.507177033492823","6.507177033492823"
"244000","6.065040650406504","6.065040650406504","6.065040650406504"
"248000","6.630434782608695","6.630434782608695","6.630434782608695"
"252000","6.263565891472868","6.263565891472868","6.263565891472868"
"256000","6.6461538461538465","6.6461538461538465","6.6461538461538465"
"260000","6.682242990654205","6.682242990654205","6.682242990654205"
"264000","6.879756468797565","6.879756468797565","6.879756468797565"
"268000","6.405750798722044","6.405750798722044","6.405750798722044"
"272000","6.446540880503145","6.446540880503145","6.446540880503145"
"276000","5.9870550161812295","5.9870550161812295","5.9870550161812295"
"280000","6.229508196721311","6.229508196721311","6.229508196721311"
"284000","6.488188976377953","6.488188976377953","6.488188976377953"
"288000","6.516329704510109","6.516329704510109","6.516329704510109"
"292000","6.270358306188925","6.270358306188925","6.270358306188925"
"296000","6.396825396825397","6.396825396825397","6.396825396825397"
"300000","6.076794657762938","6.076794657762938","6.076794657762938"
"304000","6.368","6.368","6.368"
"308000","6.208530805687204","6.208530805687204","6.208530805687204"
"312000","6.0576923076923075","6.0576923076923075","6.0576923076923075"
"316000","6.779141104294479","6.779141104294479","6.779141104294479"
"320000","6.864535768645358","6.864535768645358","6.864535768645358"
"324000","6.365079365079365","6.365079365079365","6.365079365079365"
"328000","6.435331230283912","6.435331230283912","6.435331230283912"
"332000","6.9710806697108065","6.9710806697108065","6.9710806697108065"
"336000","6.640866873065016","6.640866873065016","6.640866873065016"
"340000","6.352201257861635","6.352201257861635","6.352201257861635"
