"Step","Group: mergevd-v0 - adv_rewards","Group: mergevd-v0 - adv_rewards__MIN","Group: mergevd-v0 - adv_rewards__MAX"
"4000","0.09237875288683603","0.09237875288683603","0.09237875288683603"
"8000","0.15250544662309368","0.15250544662309368","0.15250544662309368"
"12000","0.29045643153526973","0.29045643153526973","0.29045643153526973"
"16000","0.2320675105485232","0.2320675105485232","0.2320675105485232"
"20000","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"24000","0.6496062992125984","0.6496062992125984","0.6496062992125984"
"28000","1.284584980237154","1.284584980237154","1.284584980237154"
"32000","1.802325581395349","1.802325581395349","1.802325581395349"
"36000","2.198852772466539","2.198852772466539","2.198852772466539"
"40000","2.711864406779661","2.711864406779661","2.711864406779661"
"44000","2.6037735849056602","2.6037735849056602","2.6037735849056602"
"48000","2.790262172284644","2.790262172284644","2.790262172284644"
"52000","2.806691449814126","2.806691449814126","2.806691449814126"
"56000","3.078358208955224","3.078358208955224","3.078358208955224"
"60000","3.0343511450381677","3.0343511450381677","3.0343511450381677"
"64000","3.132969034608379","3.132969034608379","3.132969034608379"
"68000","3.037974683544304","3.037974683544304","3.037974683544304"
"72000","2.857142857142857","2.857142857142857","2.857142857142857"
"76000","3.44954128440367","3.44954128440367","3.44954128440367"
"80000","2.952029520295203","2.952029520295203","2.952029520295203"
"84000","3.2222222222222223","3.2222222222222223","3.2222222222222223"
"88000","3.257042253521127","3.257042253521127","3.257042253521127"
"92000","3.177737881508079","3.177737881508079","3.177737881508079"
"96000","3.3274647887323945","3.3274647887323945","3.3274647887323945"
"100000","3.4554973821989527","3.4554973821989527","3.4554973821989527"
"104000","3.3682373472949387","3.3682373472949387","3.3682373472949387"
"108000","4.486133768352365","4.486133768352365","4.486133768352365"
"112000","4.302521008403361","4.302521008403361","4.302521008403361"
"116000","4.108910891089109","4.108910891089109","4.108910891089109"
"120000","4.5396825396825395","4.5396825396825395","4.5396825396825395"
"124000","5.078369905956113","5.078369905956113","5.078369905956113"
"128000","5.015822784810126","5.015822784810126","5.015822784810126"
"132000","5.716463414634147","5.716463414634147","5.716463414634147"
"136000","5.848484848484849","5.848484848484849","5.848484848484849"
"140000","6.159638554216867","6.159638554216867","6.159638554216867"
"144000","6.409883720930233","6.409883720930233","6.409883720930233"
"148000","6.547788873038517","6.547788873038517","6.547788873038517"
"152000","7.035460992907802","7.035460992907802","7.035460992907802"
"156000","7.309292649098475","7.309292649098475","7.309292649098475"
"160000","7.4863387978142075","7.4863387978142075","7.4863387978142075"
"164000","7.403846153846154","7.403846153846154","7.403846153846154"
"168000","7.5928473177441544","7.5928473177441544","7.5928473177441544"
"172000","7.667121418826739","7.667121418826739","7.667121418826739"
"176000","7.402234636871508","7.402234636871508","7.402234636871508"
"180000","7.618403247631935","7.618403247631935","7.618403247631935"
"184000","7.791164658634538","7.791164658634538","7.791164658634538"
"188000","7.741496598639456","7.741496598639456","7.741496598639456"
"192000","7.709190672153635","7.709190672153635","7.709190672153635"
"196000","7.720488466757123","7.720488466757123","7.720488466757123"
